m_rural,variable,group,Pre-lockdown,Post-lockdown
yes,c_overweight,no,"96.7 (96.4, 96.9)","97.7 (97.5, 97.9)"
yes,c_overweight,yes,"3.3 (3.1, 3.6)","2.3 (2.1, 2.5)"
yes,m_alcohol,no,"98.3 (98.1, 98.5)","99 (98.8, 99.1)"
yes,m_alcohol,yes,"1.7 (1.5, 1.9)","1 (0.9, 1.2)"
yes,m_smoking,no,"95.1 (94.7, 95.5)","96.5 (96.2, 96.8)"
yes,m_smoking,yes,"4.9 (4.5, 5.3)","3.5 (3.2, 3.8)"
yes,m_caste,General,"15.8 (15, 16.7)","13.3 (12.6, 14)"
yes,m_caste,OBC,"47.9 (46.7, 49.1)","45.7 (44.6, 46.8)"
yes,m_caste,Schedule Caste,"27.3 (26.2, 28.3)","25.5 (24.6, 26.5)"
yes,m_caste,Schedule Tribe,"9 (8.2, 9.7)","15.5 (14.7, 16.3)"
yes,m_wealthq,Lowest,"27.9 (26.8, 28.9)","30.9 (29.9, 31.9)"
yes,m_wealthq,Low,"27.3 (26.5, 28.1)","24.3 (23.6, 25)"
yes,m_wealthq,Medium,"21 (20.3, 21.7)","19.4 (18.8, 20.1)"
yes,m_wealthq,High,"15.4 (14.7, 16)","15.4 (14.8, 16)"
yes,m_wealthq,Highest,"8.5 (7.9, 9)","10 (9.4, 10.5)"
yes,m_religion,Hindu,"87.9 (87, 88.8)","85.5 (84.6, 86.4)"
yes,m_religion,Muslim,"8.6 (7.7, 9.4)","9.6 (8.8, 10.4)"
yes,m_religion,Other,"3.5 (3.1, 3.9)","4.9 (4.4, 5.4)"
yes,m_education,Higher,"10.6 (10.1, 11.2)","14.8 (14.1, 15.5)"
yes,m_education,No education,"27.8 (26.8, 28.7)","23 (22.2, 23.7)"
yes,m_education,Primary,"15.1 (14.5, 15.6)","13 (12.5, 13.5)"
yes,m_education,Secondary,"46.5 (45.5, 47.4)","49.2 (48.4, 50)"
yes,m_weightstatus,Normal,"64.9 (64, 65.7)","61.9 (61.2, 62.6)"
yes,m_weightstatus,Overweight or Obese,"13.8 (13.2, 14.4)","17.1 (16.5, 17.7)"
yes,m_weightstatus,Underweight,"21.3 (20.6, 22)","21 (20.4, 21.7)"
